# Data source: SEC EDGAR (data.sec.gov)
# Screener Parameters:
# Revenue >= 0.0
# NetIncome >= 0.0
# EPS >= 0.0
# Debt/Assets <= 0.8

Ticker,Company,CIK,ReportDate,Revenue,NetIncome,NetMargin%,RevenueYoY%,Assets,Liabilities,Equity,Debt/Assets%,EPS,SharesOut
DLR,"DIGITAL REALTY TRUST, INC.",0001297996,2024-12-31,5554968000,602490000,10.85,1.42,45283616000,22107836000,21340397000.0,48.82,1.74,343501552.0
SN,"SHARKNINJA, INC.",0001957132,2024-12-31,5528639000,438705000,7.94,29.97,4394159000,2458187000,1935972000.0,55.94,3.14,140347436.0
MCY,MERCURY GENERAL CORP,0000064996,2024-12-31,5475633000,467953000,8.55,18.27,8310632000,6364108000,1946524000.0,76.58,8.45,55388627.0
STE,STERIS plc,0001757898,2025-03-31,5459515000,614641000,11.26,6.24,10146811000,3531054000,6603405000.0,34.8,6.24,98147009.0
CTRA,COTERRA ENERGY INC.,0000858470,2024-12-31,5458000000,1121000000,20.54,-7.71,21625000000,8495000000,13122000000.0,39.28,1.51,761377552.0
CG,Carlyle Group Inc.,0001527166,2024-12-31,5425800000,1020400000,18.81,83.06,23103500000,16755900000,6347600000.0,72.53,2.85,360410486.0
CGABL,Carlyle Group Inc.,0001527166,2024-12-31,5425800000,1020400000,18.81,83.06,23103500000,16755900000,6347600000.0,72.53,2.85,360410486.0
HST,"HOST HOTELS & RESORTS, INC.",0001070750,2024-12-31,5387000000,697000000,12.94,-0.79,13048000000,6271000000,6609000000.0,48.06,0.99,687689481.0
KEYS,"KEYSIGHT TECHNOLOGIES, INC.",0001601046,2025-10-31,5375000000,850000000,15.81,7.95,11301000000,5420000000,5881000000.0,47.96,4.93,171817127.0
LII,LENNOX INTERNATIONAL INC,0001069202,2024-12-31,5341300000,806900000,15.11,7.21,3471800000,2621600000,850200000.0,75.51,22.67,35072782.0
IVZ,Invesco Ltd.,0000914208,2024-12-31,5314100000,538000000,10.12,2.98,27008900000,11340100000,14559900000.0,41.99,1.18,445092900.0
POOL,POOL CORPORATION,0000945841,2024-12-31,5310953000,434325000,8.18,-4.16,3368184000,2094719000,1273465000.0,62.19,11.37,37249484.0
WSM,"WILLIAMS-SONOMA, INC.",0000719955,2025-02-02,5292359000,1125251000,21.26,4.1,5301607000,3159188000,2142419000.0,59.59,8.91,119380711.0
SNDR,"Schneider National, Inc.",0001692063,2024-12-31,5290500000,117000000,2.21,-3.79,4933700000,1946800000,2986900000.0,39.46,0.67,
AXTA,AXALTA COATING SYSTEMS LTD.,0001616862,2024-12-31,5276000000,391000000,7.41,1.77,7249000000,5293000000,1912000000.0,73.02,1.78,213340170.0
EQT,EQT CORPORATION,0000033213,2024-12-31,5273309000,230577000,4.37,-23.67,39830255000,15552119000,20597628000.0,39.05,0.45,624067000.0
O,REALTY INCOME CORPORATION,0000726728,2024-12-31,5271142000,860772000,16.33,29.23,68835039000,29783353000,38840738000.0,43.27,0.98,919905765.0
FMS,FRESENIUS MEDICAL CARE AG,0001333141,2016-12-31,5265354000,1243267000,23.61,5.94,26933942000,14235794000,10808722000.0,52.85,4.07,293413449.0
SARO,"StandardAero, Inc.",0002025410,2024-12-31,5237161000,10974000,0.21,14.77,6213601000,3840197000,2373404000.0,61.8,0.04,334470264.0
